BJD - 2454833, Corrected Flux
1977.262592275, 1.007045279,
1977.283024576, 1.007004331,
1977.303456778, 1.006902248,
1977.364753779, 1.006706337,
1977.385186078, 1.006436499,
1977.405618377, 1.006435012,
1977.426050675, 1.006585742,
1977.446483073, 1.006445018,
1977.466915271, 1.007021164,
1977.487347668, 1.006259736,
1977.507779964, 1.006144104,
1977.548644555, 1.006155216,
1977.569076850, 1.005936811,
1977.589509045, 1.005915793,
1977.609941439, 1.006195069,
1977.630373732, 1.006019172,
1977.650805925, 1.006007780,
1977.671238318, 1.005730941,
1977.691670610, 1.005732721,
1977.712102802, 1.005832559,
1977.752967483, 1.005541212,
1977.773399673, 1.005550700,
1977.793832063, 1.005527277,
1977.814264352, 1.005647219,
1977.834696641, 1.005452518,
1977.855128929, 1.005401695,
1977.875561217, 1.005443646,
1977.916425790, 1.005628689,
1977.936858077, 1.005361303,
1977.957290463, 1.005271746,
1977.977722648, 1.005459234,
1977.998154933, 1.005354326,
1978.018587317, 1.005226030,
1978.039019501, 1.005210233,
1978.059451784, 1.005276795,
1978.079884167, 1.005042692,
1978.100316350, 1.005275418,
1978.120748631, 1.004996011,
1978.141181012, 1.005063985,
1978.161613194, 1.005005377,
1978.182045474, 1.004971421,
1978.202477854, 1.004963705,
1978.222910034, 1.005165205,
1978.243342413, 1.004904936,
1978.263774691, 1.004914177,
1978.284206969, 1.004826634,
1978.304639247, 1.004999005,
1978.325071524, 1.004913215,
1978.345503800, 1.004684177,
1978.365936077, 1.004856103,
1978.386368353, 1.004761854,
1978.406800627, 1.004736516,
1978.427232902, 1.004572856,
1978.447665176, 1.004683518,
1978.468097450, 1.004630251,
1978.488529723, 1.004796236,
1978.508961996, 1.004619965,
1978.529394169, 1.004471114,
1978.590690983, 1.004524620,
1978.611123353, 1.004511177,
1978.631555623, 1.004685212,
1978.651987992, 1.004759598,
1978.672420161, 1.004448622,
1978.713284798, 1.004585880,
1978.733716965, 1.004389940,
1978.754149232, 1.004426229,
1978.774581599, 1.004201333,
1978.795013865, 1.004378196,
1978.815446031, 1.004173707,
1978.835878396, 1.004405176,
1978.856310660, 1.004377419,
1978.876742825, 1.004217825,
1978.917607452, 1.004320342,
1978.938039615, 1.004311386,
1978.958471977, 1.004498092,
1978.978904238, 1.004680815,
1978.999336400, 1.004428751,
